case_id,yaw_upstream,power_1,power_2,power_3,power_4,power_5,power_6,power_7,power_8,power_9,power_total,gain_pct
array_yaw_-30,-30,1339.86,1339.86,1339.86,1010.0,1028.63,1034.29,668.51,673.18,668.21,9102.39,12.442511874393924
array_yaw_-25,-25,1458.96,1458.96,1458.96,891.85,910.97,916.84,652.97,657.68,653.95,9061.13,11.932823974849132
array_yaw_-20,-20,1561.32,1561.32,1561.32,756.53,773.82,779.18,625.25,629.49,627.18,8875.4,9.638487242361167
array_yaw_-15,-15,1643.59,1643.59,1643.59,643.12,652.42,655.35,586.63,589.71,588.66,8646.65,6.812721197260088
array_yaw_-10,-10,1704.2,1704.2,1704.2,539.06,543.23,544.58,544.97,546.03,545.72,8376.21,3.471955430103204
array_yaw_-05,-5,1741.51,1741.51,1741.51,461.9,461.87,461.9,513.62,513.26,513.18,8150.26,0.680777996701736
array_yaw_+00,0,1753.95,1753.95,1753.95,436.44,436.85,437.0,507.16,507.99,507.83,8095.15,0.0
array_yaw_+05,5,1741.51,1741.51,1741.51,472.31,478.46,480.39,530.09,534.86,534.47,8255.09,1.975750912583467
array_yaw_+10,10,1704.2,1704.2,1704.2,555.49,569.16,573.38,573.13,582.45,581.4,8547.62,5.589396119898966
array_yaw_+15,15,1643.59,1643.59,1643.59,660.71,680.02,685.91,621.24,633.84,631.55,8844.04,9.251094791325686
array_yaw_+20,20,1561.32,1561.32,1561.32,778.04,807.44,816.3,663.0,677.04,673.05,9098.82,12.398411394476941
array_yaw_+25,25,1458.96,1458.96,1458.96,909.44,938.66,947.39,692.25,706.94,701.34,9272.89,14.548711265387299
array_yaw_+30,30,1339.86,1339.86,1339.86,1023.43,1050.19,1058.13,708.31,723.16,716.27,9299.05,14.871867723266396
