case_id,U_inf,yaw_1,yaw_2,power_1,power_2,power_total,gain_pct
U6_yaw_-30,6.0,-30,0.0,558.99,398.79,957.78,9.85353321022629
U6_yaw_-25,6.0,-25,0.0,611.7,352.57,964.27,10.597910238911762
U6_yaw_-20,6.0,-20,0.0,654.71,298.24,952.95,9.299551538646822
U6_yaw_-15,6.0,-15,0.0,688.12,237.78,925.9,6.19702478580522
U6_yaw_-10,6.0,-10,0.0,711.95,177.94,889.8900000000001,2.066821888584318
U6_yaw_-05,6.0,-5,0.0,726.24,150.13,876.37,0.5161319921547937
U6_yaw_+00,6.0,0,0.0,731.0,140.87,871.87,0.0
U6_yaw_+05,6.0,5,0.0,726.24,154.05,880.29,0.9657403053207426
U6_yaw_+10,6.0,10,0.0,711.95,187.85,899.8000000000001,3.203459231307427
U6_yaw_+15,6.0,15,0.0,688.12,248.04,936.16,7.37380572791815
U6_yaw_+20,6.0,20,0.0,654.71,307.24,961.95,10.331815522956408
U6_yaw_+25,6.0,25,0.0,611.7,359.69,971.3900000000001,11.414545746498915
U6_yaw_+30,6.0,30,0.0,558.99,404.11,963.1,10.46371592095152
U8_yaw_-30,8.0,-30,0.0,1339.86,1010.0,2349.8599999999997,7.28043864334661
U8_yaw_-25,8.0,-25,0.0,1458.96,891.85,2350.81,7.323809915129273
U8_yaw_-20,8.0,-20,0.0,1561.32,756.53,2317.85,5.819055054122784
U8_yaw_-15,8.0,-15,0.0,1643.59,643.12,2286.71,4.3973904190578015
U8_yaw_-10,8.0,-10,0.0,1704.2,539.06,2243.26,2.4137254096302643
U8_yaw_-05,8.0,-5,0.0,1741.51,461.9,2203.41,0.5944146932737998
U8_yaw_+00,8.0,0,0.0,1753.95,436.44,2190.39,0.0
U8_yaw_+05,8.0,5,0.0,1741.51,472.31,2213.82,1.0696725240710692
U8_yaw_+10,8.0,10,0.0,1704.2,555.49,2259.69,3.1638201416186242
U8_yaw_+15,8.0,15,0.0,1643.59,660.71,2304.3,5.200443756591307
U8_yaw_+20,8.0,20,0.0,1561.32,778.04,2339.3599999999997,6.801071955222578
U8_yaw_+25,8.0,25,0.0,1458.96,909.44,2368.4,8.126863252662778
U8_yaw_+30,8.0,30,0.0,1339.86,1023.43,2363.29,7.89357146444241
U10_yaw_-30,10.0,-30,0.0,2618.95,1962.62,4581.57,5.903360470438109
U10_yaw_-25,10.0,-25,0.0,2863.71,1724.28,4587.99,6.051759288795184
U10_yaw_-20,10.0,-20,0.0,3063.49,1492.14,4555.63,5.303755276017174
U10_yaw_-15,10.0,-15,0.0,3218.62,1265.2,4483.82,3.643861328007605
U10_yaw_-10,10.0,-10,0.0,3329.31,1079.88,4409.1900000000005,1.918782852308508
U10_yaw_-05,10.0,-5,0.0,3395.68,950.9,4346.58,0.47154764711592295
U10_yaw_+00,10.0,0,0.0,3417.8,908.38,4326.18,0.0
U10_yaw_+05,10.0,5,0.0,3395.68,968.27,4363.95,0.8730565995866915
U10_yaw_+10,10.0,10,0.0,3329.31,1107.31,4436.62,2.552829517033494
U10_yaw_+15,10.0,15,0.0,3218.62,1300.28,4518.9,4.454738360401078
U10_yaw_+20,10.0,20,0.0,3063.49,1527.41,4590.9,6.1190241737514235
U10_yaw_+25,10.0,25,0.0,2863.71,1756.15,4619.860000000001,6.78843691201014
U10_yaw_+30,10.0,30,0.0,2618.95,1990.46,4609.41,6.546884318266913
U12_yaw_-30,12.0,-30,0.0,4478.61,3463.67,7942.28,7.353640865935682
U12_yaw_-25,12.0,-25,0.0,4862.41,3211.48,8073.889999999999,9.132577477886628
U12_yaw_-20,12.0,-20,0.0,5000.0,2962.18,7962.18,7.622623759164348
U12_yaw_-15,12.0,-15,0.0,5000.0,2730.33,7730.33,4.488770302125913
U12_yaw_-10,12.0,-10,0.0,5000.0,2538.1,7538.1,1.8904496204502772
U12_yaw_-05,12.0,-5,0.0,5000.0,2431.92,7431.92,0.45524340924328344
U12_yaw_+00,12.0,0,0.0,5000.0,2398.24,7398.24,0.0
U12_yaw_+05,12.0,5,0.0,5000.0,2438.89,7438.889999999999,0.5494550055148203
U12_yaw_+10,12.0,10,0.0,5000.0,2553.15,7553.15,2.093876381409631
U12_yaw_+15,12.0,15,0.0,5000.0,2748.59,7748.59,4.735585760937742
U12_yaw_+20,12.0,20,0.0,5000.0,2981.13,7981.13,7.878765760505206
U12_yaw_+25,12.0,25,0.0,4862.41,3229.18,8091.59,9.371823568848813
U12_yaw_+30,12.0,30,0.0,4478.61,3480.9,7959.51,7.586534094595478
