wind_direction,U_inf,best_yaw,power_base,power_opt,gain_pct
0,6.0,0.0,1462.01,1462.01,0.0
0,8.0,0.0,3507.91,3507.91,0.0
0,10.0,0.0,6835.59,6835.59,0.0
0,12.0,-20.0,10000.0,10000.0,0.0
30,6.0,0.0,1462.01,1462.01,0.0
30,8.0,0.0,3507.91,3507.91,0.0
30,10.0,0.0,6835.59,6835.59,0.0
30,12.0,-20.0,10000.0,10000.0,0.0
60,6.0,0.0,1462.01,1462.01,0.0
60,8.0,0.0,3507.91,3507.91,0.0
60,10.0,0.0,6835.59,6835.59,0.0
60,12.0,-20.0,10000.0,10000.0,0.0
90,6.0,0.0,871.87,871.87,0.0
90,8.0,0.0,2190.4,2190.4,0.0
90,10.0,0.0,4326.18,4326.18,0.0
90,12.0,0.0,7398.24,7398.24,0.0
120,6.0,0.0,1462.01,1462.01,0.0
120,8.0,0.0,3507.91,3507.91,0.0
120,10.0,0.0,6835.59,6835.59,0.0
120,12.0,-20.0,10000.0,10000.0,0.0
150,6.0,0.0,1462.01,1462.01,0.0
150,8.0,0.0,3507.91,3507.91,0.0
150,10.0,0.0,6835.59,6835.59,0.0
150,12.0,-20.0,10000.0,10000.0,0.0
180,6.0,0.0,1462.01,1462.01,0.0
180,8.0,0.0,3507.91,3507.91,0.0
180,10.0,0.0,6835.59,6835.59,0.0
180,12.0,-20.0,10000.0,10000.0,0.0
210,6.0,0.0,1462.01,1462.01,0.0
210,8.0,0.0,3507.91,3507.91,0.0
210,10.0,0.0,6835.59,6835.59,0.0
210,12.0,-20.0,10000.0,10000.0,0.0
240,6.0,0.0,1462.01,1462.01,0.0
240,8.0,0.0,3507.91,3507.91,0.0
240,10.0,0.0,6835.59,6835.59,0.0
240,12.0,-20.0,10000.0,10000.0,0.0
270,6.0,25.0,871.87,971.38,11.41
270,8.0,25.0,2190.4,2368.39,8.13
270,10.0,25.0,4326.18,4619.86,6.79
270,12.0,25.0,7398.24,8091.59,9.37
300,6.0,0.0,1462.01,1462.01,0.0
300,8.0,0.0,3507.91,3507.91,0.0
300,10.0,0.0,6835.59,6835.59,0.0
300,12.0,-20.0,10000.0,10000.0,0.0
330,6.0,0.0,1462.01,1462.01,0.0
330,8.0,0.0,3507.91,3507.91,0.0
330,10.0,0.0,6835.59,6835.59,0.0
330,12.0,-20.0,10000.0,10000.0,0.0
