case_id,U_inf,yaw_1,yaw_2,power_1,power_2,power_total
case_0001,8.0,-30,0.0,1339.86,1010.0,2349.8599999999997
case_0002,8.0,-25,0.0,1458.96,891.85,2350.81
case_0003,8.0,-20,0.0,1561.32,756.53,2317.85
case_0004,8.0,-15,0.0,1643.59,643.12,2286.71
case_0005,8.0,-10,0.0,1704.2,539.06,2243.26
case_0006,8.0,-5,0.0,1741.51,461.9,2203.41
case_0007,8.0,0,0.0,1753.95,436.44,2190.39
case_0008,8.0,5,0.0,1741.51,472.31,2213.82
case_0009,8.0,10,0.0,1704.2,555.49,2259.69
case_0010,8.0,15,0.0,1643.59,660.71,2304.3
case_0011,8.0,20,0.0,1561.32,778.04,2339.3599999999997
case_0012,8.0,25,0.0,1458.96,909.44,2368.4
case_0013,8.0,30,0.0,1339.86,1023.43,2363.29
