wind_direction,U_inf,power_base,power_greedy,gain_pct,greedy_method,yaw_1,yaw_2,yaw_3,yaw_4,yaw_5,yaw_6,yaw_7,yaw_8,yaw_9
0,6.0,2548.6,3241.94,27.2,per_turbine,0.0,30.0,30.0,0.0,30.0,30.0,0.0,30.0,30.0
0,8.0,6683.23,8126.98,21.6,per_turbine,0.0,30.0,25.0,0.0,30.0,25.0,0.0,30.0,25.0
0,10.0,13358.29,16088.82,20.44,per_turbine,0.0,30.0,25.0,0.0,30.0,25.0,0.0,30.0,25.0
0,12.0,23622.91,28241.99,19.55,per_turbine,0.0,30.0,25.0,0.0,30.0,25.0,0.0,30.0,25.0
30,6.0,6549.44,6551.83,0.04,per_turbine,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,-5.0
30,8.0,15726.54,15726.54,0.0,per_turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,10.0,30656.52,30656.52,0.0,per_turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,12.0,45000.0,45000.0,0.0,per_turbine,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0
60,6.0,4494.12,5170.19,15.04,per_turbine,0.0,0.0,0.0,0.0,20.0,25.0,0.0,25.0,30.0
60,8.0,11172.5,12437.3,11.32,per_turbine,0.0,0.0,0.0,0.0,20.0,25.0,0.0,25.0,25.0
60,10.0,21878.17,24339.43,11.25,per_turbine,0.0,0.0,0.0,0.0,20.0,25.0,0.0,25.0,25.0
60,12.0,35153.45,39686.07,12.89,per_turbine,0.0,0.0,-20.0,0.0,25.0,25.0,20.0,25.0,25.0
90,6.0,3205.0,4112.38,28.31,row_rank,0.0,0.0,0.0,25.0,25.0,25.0,30.0,30.0,30.0
90,8.0,8095.98,10043.28,24.05,row_rank,0.0,0.0,0.0,20.0,20.0,20.0,30.0,30.0,30.0
90,10.0,16140.42,19591.38,21.38,per_turbine,0.0,0.0,0.0,25.0,20.0,20.0,30.0,30.0,30.0
90,12.0,27399.29,33308.91,21.57,per_turbine,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,25.0
120,6.0,4485.0,5128.64,14.35,per_turbine,0.0,0.0,0.0,-30.0,-20.0,0.0,-30.0,-30.0,0.0
120,8.0,11154.21,12351.84,10.74,per_turbine,0.0,0.0,0.0,-25.0,-20.0,0.0,-25.0,-25.0,0.0
120,10.0,21844.55,24171.32,10.65,per_turbine,0.0,0.0,0.0,-25.0,-20.0,0.0,-25.0,-25.0,0.0
120,12.0,35100.67,39475.92,12.46,per_turbine,-20.0,0.0,0.0,-25.0,-25.0,0.0,-25.0,-25.0,-20.0
150,6.0,6549.55,6551.1,0.02,per_turbine,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0
150,8.0,15726.86,15726.86,0.0,per_turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,10.0,30657.08,30657.08,0.0,per_turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
